answer;solution;correct;image;lociId;lociName;blocIndex;lociIndex;imageIndex;feat;nbRow;nbCol;memoTime;restiTime;sepSign;timestamp
39;39;True;P;4f1edc0f-cb67-11e4-9f78-08002700d09f;sport 2000 chaussures;3;16;50;d;20;40;300;900;|;1426676055.0
54;54;True;A;4f1edc0f-cb67-11e4-9f78-08002700d09f;sport 2000 chaussures;3;16;51;d;20;40;300;900;|;1426676055.0
29;29;True;Q;4f1edc0f-cb67-11e4-9f78-08002700d09f;sport 2000 chaussures;3;16;52;d;20;40;300;900;|;1426676055.0
43;43;True;P;4f1f9f61-cb67-11e4-8f20-08002700d09f;coiffeur caisse;4;17;53;d;20;40;300;900;|;1426676055.0
42;42;True;A;4f1f9f61-cb67-11e4-8f20-08002700d09f;coiffeur caisse;4;17;54;d;20;40;300;900;|;1426676055.0
40;40;True;Q;4f1f9f61-cb67-11e4-8f20-08002700d09f;coiffeur caisse;4;17;55;d;20;40;300;900;|;1426676055.0
61;61;True;P;4f20148f-cb67-11e4-91b5-08002700d09f;coiffeur attente;5;18;56;d;20;40;300;900;|;1426676055.0
51;51;True;A;4f20148f-cb67-11e4-91b5-08002700d09f;coiffeur attente;5;18;57;d;20;40;300;900;|;1426676055.0
19;19;True;Q;4f20148f-cb67-11e4-91b5-08002700d09f;coiffeur attente;5;18;58;d;20;40;300;900;|;1426676055.0
16;16;True;A;4f20148f-cb67-11e4-91b5-08002700d09f;coiffeur attente;5;18;59;d;20;40;300;900;|;1426676055.0
19;19;True;Q;4f20148f-cb67-11e4-91b5-08002700d09f;coiffeur attente;5;18;60;d;20;40;300;900;|;1426676055.0
44;44;True;P;4f214d0f-cb67-11e4-b5fd-08002700d09f;escalator sup U;0;19;61;d;20;40;300;900;|;1426676055.0
34;34;True;A;4f214d0f-cb67-11e4-b5fd-08002700d09f;escalator sup U;0;19;62;d;20;40;300;900;|;1426676055.0
68;68;True;Q;4f214d0f-cb67-11e4-b5fd-08002700d09f;escalator sup U;0;19;63;d;20;40;300;900;|;1426676055.0
21;21;True;P;4f21c240-cb67-11e4-8095-08002700d09f;distri bonbons;1;20;64;d;20;40;300;900;|;1426676055.0
15;15;True;A;4f21c240-cb67-11e4-8095-08002700d09f;distri bonbons;1;20;65;d;20;40;300;900;|;1426676055.0
64;64;True;Q;4f21c240-cb67-11e4-8095-08002700d09f;distri bonbons;1;20;66;d;20;40;300;900;|;1426676055.0
08;08;True;P;4f21c240-cb67-11e4-8095-08002700d09f;distri bonbons;0;1;1;d;20;40;300;900;|;1426703158.0
41;41;True;A;4f21c240-cb67-11e4-8095-08002700d09f;distri bonbons;0;1;2;d;20;40;300;900;|;1426703158.0
04;04;True;Q;4f21c240-cb67-11e4-8095-08002700d09f;distri bonbons;0;1;3;d;20;40;300;900;|;1426703158.0
55;55;True;P;4f225e80-cb67-11e4-a1e5-08002700d09f;portillon;1;2;4;d;20;40;300;900;|;1426703158.0
22;22;True;A;4f225e80-cb67-11e4-a1e5-08002700d09f;portillon;1;2;5;d;20;40;300;900;|;1426703158.0
78;78;True;Q;4f225e80-cb67-11e4-a1e5-08002700d09f;portillon;1;2;6;d;20;40;300;900;|;1426703158.0
25;17;False;P;4f22d3ae-cb67-11e4-8738-08002700d09f;habits;2;3;7;d;20;40;300;900;|;1426703158.0
93;15;False;A;4f22d3ae-cb67-11e4-8738-08002700d09f;habits;2;3;8;d;20;40;300;900;|;1426703158.0
89;89;True;Q;4f22d3ae-cb67-11e4-8738-08002700d09f;habits;2;3;9;d;20;40;300;900;|;1426703158.0
73;73;True;P;4f236ff0-cb67-11e4-b5f7-08002700d09f;derrière point fromages;3;4;10;d;20;40;300;900;|;1426703158.0
79;79;True;A;4f236ff0-cb67-11e4-b5f7-08002700d09f;derrière point fromages;3;4;11;d;20;40;300;900;|;1426703158.0
06;06;True;Q;4f236ff0-cb67-11e4-b5f7-08002700d09f;derrière point fromages;3;4;12;d;20;40;300;900;|;1426703158.0
34;34;True;P;4f243340-cb67-11e4-a8cc-08002700d09f;caisse;4;5;13;d;20;40;300;900;|;1426703158.0
62;62;True;A;4f243340-cb67-11e4-a8cc-08002700d09f;caisse;4;5;14;d;20;40;300;900;|;1426703158.0
46;46;True;Q;4f243340-cb67-11e4-a8cc-08002700d09f;caisse;4;5;15;d;20;40;300;900;|;1426703158.0
81;81;True;P;4f24cf80-cb67-11e4-8d67-08002700d09f;portes tournantes;5;6;16;d;20;40;300;900;|;1426703158.0
56;56;True;A;4f24cf80-cb67-11e4-8d67-08002700d09f;portes tournantes;5;6;17;d;20;40;300;900;|;1426703158.0
19;19;True;Q;4f24cf80-cb67-11e4-8d67-08002700d09f;portes tournantes;5;6;18;d;20;40;300;900;|;1426703158.0
31;31;True;A;4f24cf80-cb67-11e4-8d67-08002700d09f;portes tournantes;5;6;19;d;20;40;300;900;|;1426703158.0
80;80;True;Q;4f24cf80-cb67-11e4-8d67-08002700d09f;portes tournantes;5;6;20;d;20;40;300;900;|;1426703158.0
85;85;True;P;4f256bc0-cb67-11e4-a8b0-08002700d09f;dernière place de parking;0;7;21;d;20;40;300;900;|;1426703158.0
41;41;True;A;4f256bc0-cb67-11e4-a8b0-08002700d09f;dernière place de parking;0;7;22;d;20;40;300;900;|;1426703158.0
53;53;True;Q;4f256bc0-cb67-11e4-a8b0-08002700d09f;dernière place de parking;0;7;23;d;20;40;300;900;|;1426703158.0
66;66;True;P;4f25e0ee-cb67-11e4-a6f4-08002700d09f;essence;1;8;24;d;20;40;300;900;|;1426703158.0
39;39;True;A;4f25e0ee-cb67-11e4-a6f4-08002700d09f;essence;1;8;25;d;20;40;300;900;|;1426703158.0
19;19;True;Q;4f25e0ee-cb67-11e4-a6f4-08002700d09f;essence;1;8;26;d;20;40;300;900;|;1426703158.0
33;33;True;P;4f267d30-cb67-11e4-a10a-08002700d09f;payage de l'essence;2;9;27;d;20;40;300;900;|;1426703158.0
00;00;True;A;4f267d30-cb67-11e4-a10a-08002700d09f;payage de l'essence;2;9;28;d;20;40;300;900;|;1426703158.0
73;73;True;Q;4f267d30-cb67-11e4-a10a-08002700d09f;payage de l'essence;2;9;29;d;20;40;300;900;|;1426703158.0
03;03;True;P;4f26f261-cb67-11e4-945e-08002700d09f;bouteilles de gaz;3;10;30;d;20;40;300;900;|;1426703158.0
